Date,Close,Volume,VIX_Close,Sentiment_Score,News_Volume,Target_Next_Day,Daily_Return,SMA_10,SMA_20,SMA_50,SMA_200,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Weighted_Sentiment
2019-10-16,272.9090576171875,48928200,13.680000305175781,0.3560984100219041,52,1,-0.0016059941036515868,268.9215301513672,269.82448425292966,268.0437762451172,259.2429662322997,56.75754928686376,0.41291453033983316,0.43109942631249276,-0.018184895972659598,18.517117321139015
2019-10-17,273.7138977050781,45736600,13.789999961853027,0.35902834823433694,324,0,0.002949114605861114,269.7318328857422,269.80546112060546,268.2748645019532,259.4832349395751,58.13076293642828,0.6760901639715939,0.5554200479554028,0.12067011601619111,116.32518482792517
2019-10-18,272.5157775878906,64304000,14.25,-0.003544111126666971,470,1,-0.004377271768927327,270.06290893554694,269.79128112792966,268.37912109375,259.74443756103506,55.314690985167665,0.7790006349447935,0.5266644151428819,0.2523362198019116,-1.6657322295334764
2019-10-21,274.3632507324219,39048600,14.0,0.34484980563121415,309,0,0.006779325442672457,270.69487915039065,269.8726791381836,268.5567407226562,259.9779859161375,58.64176298179801,0.9981277717673152,0.5966332415723228,0.40149453019499237,106.55858994004517
2019-10-22,273.4670104980469,48594700,14.460000038146973,-0.18186342670790523,370,1,-0.0032666190970637166,271.6533599853516,270.01627044677736,268.7810711669921,260.1980783081053,56.44611615564018,1.0869389540369525,0.5483555390735682,0.5385834149633844,-67.28946788192493
2019-10-23,274.2626647949219,34352200,14.010000228881836,0.016227471729361453,295,1,0.0029095074225806705,272.44080810546876,270.1196182250976,268.9397454833984,260.41137023925774,57.95131054205351,1.2076045939813298,0.5352169432143563,0.6723876507669735,4.787104160161629
2019-10-24,274.7107849121094,35453100,13.710000038146973,-0.12661970521104804,247,1,0.0016339085654351049,273.09290161132816,270.27372436523433,269.2648779296875,260.6214906311035,58.8146141427945,1.3241287987963233,0.5213929184234798,0.8027358803728435,-31.275067187128865
2019-10-25,275.835693359375,45205400,12.649999618530273,-0.3045029180343026,322,1,0.004094882724118509,273.57945556640624,270.55724182128904,269.5988513183593,260.8331314086914,60.980332947971505,1.4900691909683133,0.5498666484763758,0.9402025424919375,-98.04993960704545
2019-10-28,277.3905029296875,42147000,13.109999656677246,0.29501051473105755,290,0,0.005636723628391405,274.2516693115235,270.85585327148436,269.88744995117185,261.0520954895019,63.812762214191864,1.7271290173277976,0.6295411798686881,1.0975878374591095,85.55304927200669
2019-10-29,277.30816650390625,44284900,13.199999809265137,0.03445944545529256,288,1,-0.0002968249630453945,274.64768066406253,271.3117691040039,270.1110394287109,261.2777736663818,63.54968188098236,1.8866091206259625,0.6312170265334824,1.25539209409248,9.924320291124257
