Date,Sentiment_Score,News_Volume
2019-07-05,0.462143,100
2019-07-06,0.275742,100
2019-07-07,0.206827,100
2019-07-08,0.419446,100
2019-07-09,0.464342,100
2019-07-10,0.500281,100
2019-07-11,0.39434800000000003,100
2019-07-12,0.47718299999999997,100
2019-07-13,0.232935,100
2019-07-14,0.16007300000000002,100
2019-07-15,0.520679,100
2019-07-16,0.521406,100
2019-07-17,0.565086,100
2019-07-18,0.510438,100
2019-07-19,0.447876,100
2019-07-20,0.122251,100
2019-07-21,0.216509,100
2019-07-22,0.532096,100
2019-07-23,0.522195,100
2019-07-24,0.37255299999999997,100
2019-07-25,0.442814,100
2019-07-26,0.493568,100
2019-07-27,0.287975,100
2019-07-28,0.28756,100
2019-07-29,0.503586,100
2019-07-30,0.547598,100
2019-07-31,0.584346,100
2019-08-01,0.572034,100
2019-08-02,0.461346,100
2019-08-03,0.302079,100
2019-08-04,0.263675,100
2019-08-05,0.562287,100
2019-08-06,0.540111,100
2019-08-07,0.507372,100
2019-08-08,0.62437,100
2019-08-09,0.497052,100
2019-08-10,0.274092,100
2019-08-11,0.264687,100
2019-08-12,0.460675,100
2019-08-13,0.43121299999999996,100
2019-08-14,0.46455399999999997,100
2019-08-15,0.424782,100
2019-08-16,0.394796,100
2019-08-17,0.0009719999999999996,100
2019-08-18,0.16645699999999997,100
2019-08-19,0.488664,100
2019-08-20,0.421434,100
2019-08-21,0.5220239999999999,100
2019-08-22,0.32329300000000005,100
2019-08-23,0.43886,100
2019-08-24,0.17085899999999998,100
2019-08-25,0.30909600000000004,100
2019-08-26,0.456295,100
2019-08-27,0.427363,100
2019-08-28,0.34909599999999996,100
2019-08-29,0.447108,100
2019-08-30,0.43404699999999996,100
2019-08-31,0.155934,100
2019-09-01,0.277565,100
2019-09-02,0.225576,100
2019-09-03,0.438688,100
2019-09-04,0.47411499999999995,100
2019-09-05,0.502921,100
2019-09-06,0.414518,100
2019-09-07,0.32154299999999997,100
2019-09-08,0.423886,100
2019-09-09,0.46966299999999994,100
2019-09-10,0.40781799999999996,100
2019-09-11,0.44271099999999997,100
2019-09-12,0.41738,100
2019-09-13,0.430599,100
2019-09-14,0.27471,100
2019-09-15,0.570635,100
2019-09-16,0.373517,100
2019-09-17,0.529963,100
2019-09-18,0.299871,100
2019-09-19,0.377025,100
2019-09-20,0.47732199999999997,100
2019-09-21,0.307529,100
2019-09-22,0.390035,100
2019-09-23,0.396714,100
2019-09-24,0.43485599999999996,100
2019-09-25,0.450679,100
2019-09-26,0.354769,100
2019-09-27,0.430428,100
2019-09-28,0.385768,100
2019-09-29,0.39258200000000004,100
2019-09-30,0.45697200000000004,100
2019-10-01,0.562702,100
2019-10-02,0.382629,100
2019-10-03,0.49417900000000003,100
2019-10-04,0.446935,100
2019-10-05,0.38682099999999997,100
2019-10-06,0.373716,100
2019-10-07,0.541806,100
2019-10-08,0.37608400000000003,100
2019-10-09,0.404756,100
2019-10-10,0.453741,100
2019-10-11,0.48058700000000004,100
2019-10-12,0.198326,100
2019-10-13,0.32106999999999997,100
2019-10-14,0.339043,100
2019-10-15,0.423069,100
2019-10-16,0.469677,100
2019-10-17,0.500387,100
2019-10-18,0.346425,100
2019-10-19,0.22668600000000003,100
2019-10-20,0.33413200000000004,100
2019-10-21,0.5330210000000001,100
2019-10-22,0.426019,100
2019-10-23,0.41795000000000004,100
2019-10-24,0.46051200000000003,100
2019-10-25,0.470891,100
2019-10-26,0.5046459999999999,100
2019-10-27,0.296122,100
2019-10-28,0.396801,100
2019-10-29,0.5198550000000001,100
2019-10-30,0.5254030000000001,100
2019-10-31,0.433411,100
2019-11-01,0.518099,100
2019-11-02,0.398522,100
2019-11-03,0.208098,100
2019-11-04,0.448932,100
2019-11-05,0.49485999999999997,100
2019-11-06,0.45522399999999996,100
2019-11-07,0.481783,100
2019-11-08,0.531624,100
2019-11-09,0.29477,100
2019-11-10,0.362381,100
2019-11-11,0.527607,100
2019-11-12,0.460056,100
2019-11-13,0.407075,100
2019-11-14,0.396669,100
2019-11-15,0.327903,100
2019-11-16,0.26368400000000003,100
2019-11-17,0.354932,100
2019-11-18,0.49129199999999995,100
2019-11-19,0.40549799999999997,100
2019-11-20,0.551205,100
2019-11-21,0.49794200000000005,100
2019-11-22,0.49905700000000003,100
2019-11-23,0.38223300000000004,100
2019-11-24,0.437339,100
2019-11-25,0.530861,100
2019-11-26,0.552416,100
2019-11-27,0.484215,100
2019-11-28,0.197639,100
2019-11-29,0.506169,100
2019-11-30,0.209039,100
2019-12-01,0.382347,100
2019-12-02,0.41591,100
2019-12-03,0.544189,100
2019-12-04,0.537585,100
2019-12-05,0.526011,100
2019-12-06,0.47039000000000003,100
2019-12-07,0.315033,100
2019-12-08,0.45998399999999995,100
2019-12-09,0.35695,100
2019-12-10,0.500883,100
2019-12-11,0.519964,100
2019-12-12,0.5845400000000001,100
2019-12-13,0.558337,100
2019-12-14,0.407886,100
2019-12-15,0.550204,100
2019-12-16,0.332699,100
2019-12-17,0.461822,100
2019-12-18,0.44260599999999994,100
2019-12-19,0.48844099999999996,100
2019-12-20,0.5706669999999999,100
2019-12-21,0.324185,100
2019-12-22,0.548586,100
2019-12-23,0.426306,100
2019-12-24,0.421233,100
2019-12-25,0.22534698795180724,83
2019-12-26,0.363532,100
2019-12-27,0.37692,100
2019-12-28,0.2643670588235294,85
2019-12-29,0.385172,100
2019-12-30,0.514599,100
2019-12-31,0.456904,100
2020-01-01,0.23199899999999998,100
2020-01-02,0.372386,100
2020-01-03,0.392492,100
2020-01-04,0.42497100000000004,100
2020-01-05,0.525318,100
2020-01-06,0.5128,100
2020-01-07,0.399486,100
2020-01-08,0.48700200000000005,100
2020-01-09,0.538442,100
2020-01-10,0.41291200000000006,100
2020-01-11,0.392669,100
2020-01-12,0.48306899999999997,100
2020-01-13,0.574598,100
2020-01-14,0.485009,100
2020-01-15,0.551738,100
2020-01-16,0.501016,100
2020-01-17,0.555179,100
2020-01-18,0.501791,100
2020-01-19,0.31905100000000003,100
2020-01-20,0.265241,100
2020-01-21,0.356903,100
2020-01-22,0.48767200000000005,100
2020-01-23,0.43142899999999995,100
2020-01-24,0.41940400000000005,100
2020-01-25,0.382049,100
2020-01-26,0.314093,100
2020-01-27,0.373616,100
2020-01-28,0.567508,100
2020-01-29,0.443061,100
2020-01-30,0.555893,100
2020-01-31,0.558748,100
2020-02-01,0.21489799999999998,100
2020-02-02,0.613476,100
2020-02-03,0.52589,100
2020-02-04,0.434449,100
2020-02-05,0.46853500000000003,100
2020-02-06,0.509792,100
2020-02-07,0.50881,100
2020-02-08,0.36662,100
2020-02-09,0.46887,100
2020-02-10,0.318409,100
2020-02-11,0.519388,100
2020-02-12,0.528563,100
2020-02-13,0.550478,100
2020-02-14,0.471285,100
2020-02-15,0.38721200000000006,100
2020-02-16,0.40573100000000006,100
2020-02-17,0.142798,100
2020-02-18,0.515796,100
2020-02-19,0.5075799999999999,100
2020-02-20,0.60958,100
2020-02-21,0.43296,100
2020-02-22,0.39695300000000006,100
2020-02-23,0.493586,100
2020-02-24,0.457624,100
2020-02-25,0.493001,100
2020-02-26,0.443529,100
2020-02-27,0.46570700000000004,100
2020-02-28,0.519835,100
2020-02-29,0.6017199999999999,100
2020-03-01,0.449103,100
2020-03-02,0.37906100000000004,100
2020-03-03,0.5461860000000001,100
2020-03-04,0.535118,100
2020-03-05,0.502792,100
2020-03-06,0.420438,100
2020-03-07,0.275413,100
2020-03-08,0.532574,100
2020-03-09,0.508517,100
2020-03-10,0.47523200000000004,100
2020-03-11,0.282457,100
2020-03-12,0.405582,100
2020-03-13,0.423965,100
2020-03-14,0.274841,100
2020-03-15,0.42080599999999996,100
2020-03-16,0.38892899999999997,100
2020-03-17,0.35937800000000003,100
2020-03-18,0.405342,100
2020-03-19,0.37976,100
2020-03-20,0.344929,100
