Date,FinBERT_Score,Prob_Pos,Prob_Neg,News_Volume
2019-04-27,0.14665556,0.3703875,0.22373194,100
2019-04-28,0.29511148,0.45577577,0.16066428,100
2019-04-29,0.10306396,0.35383075,0.2507668,100
2019-04-30,0.03903717,0.32800704,0.28896987,100
2019-05-01,0.026071554,0.2647382,0.23866665,100
2019-05-02,-0.013271532,0.24232264,0.25559416,100
2019-05-03,0.02243737,0.26558703,0.24314964,100
2019-05-04,0.19419174,0.36840552,0.1742138,100
2019-05-05,0.22584322,0.42431754,0.19847432,100
2019-05-06,-0.16111721,0.28905064,0.45016783,100
2019-05-07,-0.08492418,0.31755584,0.40248,100
2019-05-08,-0.05280228,0.26131463,0.31411693,100
2019-05-09,-0.06714849,0.28028858,0.34743705,100
2019-05-10,-0.15996963,0.21697016,0.3769398,100
2019-05-11,0.14579235,0.3604318,0.21463944,100
2019-05-12,0.18436629,0.40479505,0.22042874,100
2019-05-13,-0.17136088,0.271698,0.44305885,100
2019-05-14,0.0015979512,0.3040595,0.30246156,100
2019-05-15,0.12363167,0.36199588,0.2383642,100
2019-05-16,0.023777485,0.36302507,0.33924758,100
2019-05-17,-0.25716308,0.22402357,0.48118663,100
2019-05-18,0.119630754,0.3638939,0.24426311,100
2019-05-19,0.20103401,0.41556463,0.21453062,100
2019-05-20,0.09842673,0.39844337,0.30001664,100
2019-05-21,-0.0038696409,0.31766433,0.32153398,100
2019-05-22,0.06804268,0.34378824,0.2757455,100
2019-05-23,-0.20145075,0.1963883,0.39783904,100
2019-05-24,-0.114582345,0.23302639,0.34760875,100
2019-05-25,0.1473672,0.37108216,0.22371495,100
2019-05-26,0.18771812,0.384578,0.19685984,100
2019-05-27,0.18752094,0.40647924,0.21895826,100
2019-05-28,0.17316332,0.39485323,0.22168992,100
2019-05-29,-0.11768833,0.27840656,0.3960949,100
2019-05-30,0.10856982,0.32280353,0.2142337,100
2019-05-31,-0.18625237,0.26107472,0.4473271,100
2019-06-01,0.17328233,0.39042565,0.21714331,100
2019-06-02,0.21549442,0.41842443,0.20293002,100
2019-06-03,-0.033962056,0.28214085,0.3161029,100
2019-06-04,0.14753337,0.4167041,0.26917073,100
2019-06-05,0.064126566,0.4082993,0.34417275,100
2019-06-06,-0.018928908,0.29383475,0.31276366,100
2019-06-07,-0.103846304,0.31279635,0.4166427,100
2019-06-08,0.11873212,0.35356587,0.23483373,100
2019-06-09,0.13841678,0.37114593,0.23272917,100
2019-06-10,-0.016560454,0.3518395,0.36839998,100
2019-06-11,-0.060962714,0.27619758,0.3371603,100
2019-06-12,-0.034120277,0.30511212,0.33923241,100
2019-06-13,0.05776535,0.2945902,0.23682486,100
2019-06-14,-0.07623183,0.2743091,0.35054094,100
2019-06-15,0.19509377,0.40696618,0.21187238,100
2019-06-16,0.19836849,0.36244553,0.16407706,100
2019-06-17,0.003907257,0.31898117,0.3150739,100
2019-06-18,0.06515312,0.36652398,0.30137086,100
2019-06-19,0.027835049,0.33952105,0.311686,100
2019-06-20,0.24285983,0.45561326,0.21275343,100
2019-06-21,0.0207463,0.32717496,0.30642864,100
2019-06-22,0.24662678,0.40283173,0.15620495,100
2019-06-23,0.25548357,0.44571668,0.19023308,100
2019-06-24,0.043956395,0.31850934,0.27455294,100
2019-06-25,-0.2200144,0.16537298,0.3853874,100
2019-06-26,-0.10353832,0.27655184,0.38009018,100
2019-06-27,-0.11522429,0.2170171,0.33224136,100
2019-06-28,0.067432545,0.31664878,0.24921623,100
2019-06-29,0.14367637,0.36798155,0.22430517,100
2019-06-30,0.17806828,0.4080313,0.22996303,100
2019-07-01,0.07282534,0.36227512,0.28944978,100
2019-07-02,-0.07748363,0.3063952,0.38387886,100
2019-07-03,-0.011721135,0.32045212,0.33217323,100
2019-07-04,0.23094897,0.44357994,0.21263097,100
2019-07-05,-0.018072769,0.30517322,0.32324597,100
2019-07-06,0.2175037,0.4116651,0.19416143,100
2019-07-07,0.1574193,0.39489636,0.23747703,100
2019-07-08,-0.017881215,0.31794292,0.33582413,100
2019-07-09,-0.12036184,0.2678588,0.38822064,100
2019-07-10,0.08200772,0.3547333,0.27272555,100
2019-07-11,0.009622443,0.32963538,0.32001293,100
2019-07-12,0.09014879,0.33891878,0.24876998,100
2019-07-13,0.123017594,0.37627983,0.25326222,100
2019-07-14,0.2457737,0.42505443,0.17928074,100
2019-07-15,0.092218496,0.34831172,0.25609326,100
2019-07-16,-0.042766657,0.26881507,0.31158173,100
2019-07-17,-0.01565956,0.31256035,0.32821992,100
2019-07-18,-0.10369768,0.22679798,0.3304957,100
2019-07-19,-0.056210022,0.26686594,0.32307598,100
2019-07-20,0.12347354,0.3578785,0.23440495,100
2019-07-21,0.13177645,0.3545411,0.22276463,100
2019-07-22,0.019766845,0.32013154,0.30036467,100
2019-07-23,0.19487259,0.40682423,0.21195164,100
2019-07-24,-0.010634837,0.26035544,0.27099028,100
2019-07-25,-0.058727752,0.26168424,0.32041198,100
2019-07-26,0.065800644,0.2744034,0.20860276,100
2019-07-27,0.17090407,0.34818727,0.1772832,100
2019-07-28,0.18423995,0.4143147,0.23007473,100
2019-07-29,0.048908636,0.3160886,0.26717997,100
2019-07-30,0.16458872,0.39166442,0.22707573,100
2019-07-31,0.121887885,0.30182067,0.17993279,100
2019-08-01,0.06017693,0.3303044,0.27012748,100
2019-08-02,-0.16544108,0.22417636,0.3896174,100
2019-08-03,0.25320044,0.41212937,0.15892892,100
2019-08-04,0.10571929,0.3553886,0.24966933,100
2019-08-05,-0.06891676,0.2371269,0.30604365,100
2019-08-06,0.040452257,0.33525714,0.29480487,100
2019-08-07,0.009159251,0.2836964,0.27453718,100
2019-08-08,0.12967554,0.2856151,0.15593956,100
2019-08-09,0.027804228,0.3047095,0.27690527,100
2019-08-10,0.21529703,0.38605198,0.17075495,100
2019-08-11,0.12531367,0.35838252,0.23306888,100
2019-08-12,-0.07299433,0.25920522,0.33219954,100
2019-08-13,-0.020046445,0.29754445,0.3175909,100
2019-08-14,-0.26636496,0.22411603,0.490481,100
2019-08-15,-0.22964567,0.20335682,0.43300247,100
2019-08-16,-0.015247912,0.30088368,0.3161316,100
2019-08-17,0.14112778,0.35704556,0.21591777,100
2019-08-18,0.21497874,0.4103508,0.19537209,100
2019-08-19,0.060816035,0.30039126,0.2395752,100
2019-08-20,0.017351672,0.32452968,0.307178,100
2019-08-21,0.15483569,0.37016273,0.21532704,100
2019-08-22,-0.11851159,0.28510633,0.40361795,100
2019-08-23,-0.17972569,0.23276846,0.41249412,100
2019-08-24,0.20753275,0.38059747,0.17306471,100
2019-08-25,0.14054984,0.3711837,0.23063387,100
2019-08-26,0.060757063,0.3118538,0.25109673,100
2019-08-27,-0.0720617,0.2893536,0.3614153,100
2019-08-28,-0.23704895,0.23593165,0.47298062,100
2019-08-29,0.0891554,0.3651288,0.27597338,100
2019-08-30,-0.07885316,0.2941534,0.37300655,100
2019-08-31,0.17811652,0.3698269,0.19171041,100
2019-09-01,0.091799,0.35118857,0.25938958,100
2019-09-02,0.17889225,0.36814186,0.1892496,100
2019-09-03,0.00395547,0.31222278,0.3082673,100
2019-09-04,0.08099558,0.3766215,0.29562593,100
2019-09-05,-0.021628343,0.27806363,0.29969198,100
2019-09-06,0.05837052,0.32995507,0.27158454,100
2019-09-07,0.032842528,0.32961455,0.29677203,100
2019-09-08,0.22572914,0.4081312,0.18240207,100
2019-09-09,-0.00024425864,0.335199,0.33544326,100
2019-09-10,-0.073636025,0.28305316,0.35668918,100
2019-09-11,-0.078087345,0.30102623,0.37911358,100
2019-09-12,-0.18820865,0.21594463,0.4041533,100
2019-09-13,-0.004395489,0.34845504,0.35285053,100
2019-09-14,0.10618328,0.3359187,0.22973542,100
2019-09-15,0.18039389,0.3324382,0.15204431,100
2019-09-16,-0.10701033,0.21417725,0.3211876,100
2019-09-17,-0.021447044,0.30436227,0.3258093,100
2019-09-18,-0.116153546,0.32167533,0.4378289,100
2019-09-19,-0.08119295,0.28563276,0.3668257,100
2019-09-20,0.065921634,0.34432784,0.27840623,100
2019-09-21,0.12587127,0.36800998,0.24213873,100
2019-09-22,0.18110582,0.41098127,0.22987542,100
2019-09-23,-0.027668389,0.24034275,0.26801112,100
2019-09-24,-0.13072033,0.21415277,0.34487307,100
2019-09-25,-0.045572996,0.21175276,0.25732577,100
2019-09-26,-0.11082075,0.24158996,0.35241073,100
2019-09-27,-0.0909821,0.2576106,0.34859267,100
2019-09-28,0.2168799,0.41341028,0.19653034,100
2019-09-29,0.1476457,0.4197907,0.27214497,100
2019-09-30,-0.084640175,0.24411553,0.32875574,100
2019-10-01,-0.059179354,0.31201974,0.37119907,100
2019-10-02,-0.18262473,0.25109425,0.43371895,100
2019-10-03,0.076077886,0.34779033,0.27171245,100
2019-10-04,-0.09971282,0.28481063,0.38452348,100
2019-10-05,0.07059604,0.37405965,0.30346358,100
2019-10-06,0.15449226,0.41242447,0.25793222,100
2019-10-07,-0.015909068,0.28484994,0.30075902,100
2019-10-08,-0.06134689,0.30767396,0.36902085,100
2019-10-09,0.0027603824,0.27970842,0.27694803,100
2019-10-10,-0.01223284,0.3164683,0.32870114,100
2019-10-11,0.03531848,0.34482038,0.3095019,100
2019-10-12,0.20436662,0.39687896,0.19251233,100
2019-10-13,0.19668213,0.41086248,0.21418035,100
2019-10-14,-0.17765622,0.25238407,0.43004027,100
2019-10-15,0.08921222,0.3671958,0.2779836,100
2019-10-16,-0.10469685,0.2981139,0.40281078,100
2019-10-17,0.03370862,0.36096653,0.32725787,100
2019-10-18,-0.070507064,0.2652025,0.33570954,100
2019-10-19,0.11563641,0.35404393,0.23840754,100
2019-10-20,0.109327726,0.38162273,0.272295,100
2019-10-21,0.06967075,0.2952529,0.22558212,100
2019-10-22,0.1355802,0.37308502,0.23750482,100
2019-10-23,0.07229366,0.33515227,0.26285863,100
2019-10-24,0.071376294,0.33403286,0.26265657,100
2019-10-25,-0.08611703,0.24785562,0.33397266,100
2019-10-26,0.1330107,0.33036542,0.1973547,100
2019-10-27,0.20647609,0.4172953,0.21081918,100
2019-10-28,0.05334881,0.34152028,0.28817147,100
2019-10-29,-0.022356959,0.27588686,0.29824382,100
2019-10-30,-0.04266012,0.2636098,0.30626994,100
2019-10-31,0.035452344,0.30077544,0.26532307,100
2019-11-01,0.06835648,0.33572146,0.26736498,100
2019-11-02,0.1587804,0.39879307,0.24001269,100
2019-11-03,0.0006259915,0.35332486,0.35269883,100
2019-11-04,-0.079321206,0.28500283,0.36432403,100
2019-11-05,-0.023238447,0.3068604,0.33009884,100
2019-11-06,-0.025550647,0.22427195,0.2498226,100
2019-11-07,0.0348831,0.28751412,0.25263104,100
2019-11-08,-0.014741001,0.3038788,0.31861982,100
2019-11-09,0.122140825,0.3394576,0.21731676,100
2019-11-10,0.16029863,0.40607366,0.245775,100
2019-11-11,0.10489059,0.38685453,0.2819639,100
2019-11-12,0.085340366,0.35829154,0.27295116,100
2019-11-13,0.0013718387,0.32609692,0.32472506,100
2019-11-14,-0.110148735,0.29519883,0.40534756,100
2019-11-15,-0.107846975,0.29263303,0.40048,100
2019-11-16,0.2264774,0.42339534,0.19691797,100
2019-11-17,0.17647846,0.3758492,0.19937071,100
2019-11-18,0.021202963,0.2925049,0.27130195,100
2019-11-19,0.055701528,0.32337394,0.26767242,100
2019-11-20,0.11259464,0.40060952,0.2880149,100
2019-11-21,0.06881165,0.33108327,0.2622716,100
2019-11-22,-0.015496664,0.31950754,0.3350042,100
2019-11-23,0.2162315,0.4009586,0.18472707,100
2019-11-24,0.14080143,0.29686892,0.1560675,100
2019-11-25,0.17822608,0.39264786,0.2144218,100
2019-11-26,0.14978921,0.3910449,0.2412557,100
2019-11-27,0.14336047,0.39389312,0.25053266,100
2019-11-28,0.16584899,0.37527233,0.20942336,100
2019-11-29,0.10542835,0.40304035,0.297612,100
2019-11-30,0.17703842,0.37423941,0.19720098,100
2019-12-01,0.09442717,0.3071436,0.21271645,100
2019-12-02,-0.15147841,0.2629238,0.41440225,100
2019-12-03,0.094778344,0.36716533,0.272387,100
2019-12-04,0.05958656,0.37908065,0.3194941,100
2019-12-05,0.0543227,0.31909135,0.26476863,100
2019-12-06,0.0672919,0.37110612,0.3038142,100
2019-12-07,0.023468165,0.3660047,0.34253657,100
2019-12-08,0.22948188,0.3798624,0.15038052,100
2019-12-09,-0.03155961,0.32913926,0.36069885,100
2019-12-10,0.0017224336,0.32864815,0.32692572,100
2019-12-11,0.014810548,0.32829148,0.31348094,100
2019-12-12,0.23667069,0.43462127,0.19795059,100
2019-12-13,0.10044993,0.39437485,0.2939249,100
2019-12-14,0.11633214,0.3120871,0.19575493,100
2019-12-15,0.32750815,0.42140853,0.093900375,100
2019-12-16,-0.027008837,0.3510068,0.37801567,100
2019-12-17,-0.026498422,0.32294694,0.34944534,100
2019-12-18,-0.018384863,0.28158474,0.29996958,100
2019-12-19,0.017771,0.36110196,0.34333092,100
2019-12-20,0.038914613,0.31822032,0.2793057,100
2019-12-21,0.10952986,0.36338055,0.2538507,100
2019-12-22,0.25648126,0.3940271,0.13754581,100
2019-12-23,-0.035907533,0.26125422,0.29716176,100
2019-12-24,0.01080129,0.2735545,0.26275325,100
2019-12-25,0.23787253,0.42292547,0.18505295,83
2019-12-26,0.036900762,0.30113283,0.26423207,100
2019-12-27,-0.0711018,0.24561425,0.31671605,100
2019-12-28,0.15470544,0.40915227,0.2544468,85
2019-12-29,0.21921273,0.36232007,0.14310735,100
2019-12-30,0.16932142,0.41044512,0.24112374,100
2019-12-31,-0.07518928,0.30180198,0.37699124,100
2020-01-01,0.13654296,0.33205703,0.19551408,100
2020-01-02,0.06570873,0.3686259,0.30291715,100
2020-01-03,-0.101074055,0.29591775,0.39699185,100
2020-01-04,0.20919825,0.42772344,0.2185252,100
2020-01-05,0.07265954,0.29891014,0.2262506,100
2020-01-06,0.015226657,0.3269912,0.31176457,100
2020-01-07,0.00073125184,0.3258776,0.32514638,100
2020-01-08,0.100604296,0.40733296,0.30672866,100
2020-01-09,0.07354953,0.36888492,0.2953354,100
2020-01-10,-0.019992614,0.34794998,0.36794263,100
2020-01-11,0.14663392,0.3580437,0.21140978,100
2020-01-12,0.27469447,0.4292874,0.15459295,100
2020-01-13,0.16453779,0.4521414,0.28760362,100
2020-01-14,0.021780996,0.3149855,0.29320455,100
2020-01-15,0.04311783,0.35045925,0.30734143,100
2020-01-16,0.1371827,0.38991913,0.25273645,100
2020-01-17,0.16878515,0.3813809,0.21259573,100
2020-01-18,0.18540306,0.33623555,0.15083247,100
2020-01-19,0.14697543,0.34050712,0.19353169,100
2020-01-20,0.218963,0.4157436,0.19678059,100
2020-01-21,0.026306614,0.3145597,0.2882531,100
2020-01-22,0.086791776,0.34664813,0.25985634,100
2020-01-23,0.1245393,0.3448414,0.2203021,100
2020-01-24,-0.0024038642,0.30979216,0.31219602,100
2020-01-25,0.099342436,0.3194804,0.22013798,100
2020-01-26,0.159208,0.39449075,0.23528272,100
